id,company,role,location,category,url,status,date_discovered,date_started,date_applied,last_updated,source,deadline,notes
APP-0001,Engineering at Procter & Gamble,"Engineering Internship, Summer 2027",BOSTON GO & TECH CENTER,Other,https://www.pgcareers.com/uk/en/job/R000157841/Engineering-Internship-Summer-2027,Started,2026-09-21,2026-09-21,,2026-09-21,Browser,,
APP-0002,PIMCO,"2027 Summer Intern - Product Strategy Analyst, US",,Other,https://pimco.wd1.myworkdayjobs.com/en-US/pimco-careers/job/XMLNAME-2027-Summer-Intern---Product-Strategy-Analyst--US_R106626,Applied,2026-09-21,2026-09-21,2026-09-21,2026-09-21,Browser,,Confirmed by Gmail: Thank you for applying to PIMCO!
APP-0003,PIMCO,"2027 Summer Intern - Product Analyst, EMEA",EMEA,Product,,Applied,2026-09-21,,2026-09-21,2026-09-21,Gmail,,No later recruiting update found in Gmail as of 2026-09-21
APP-0004,Morgan Stanley,2027 Finance Summer Analyst Program,Hong Kong,Markets & Finance,https://morganstanley.tal.net/vx/lang-en-GB/mobile-0/brand-2/xf-65914e293040/candidate/so/pm/1/pl/1/opp/21331-2027-Finance-Summer-Analyst-Program-Hong-Kong/en-GB,Applied,2026-08-18,,2026-08-18,2026-09-21,Gmail,,No later recruiting update found in Gmail as of 2026-09-21
APP-0005,Morgan Stanley,2027 Institutional Equity Division Quantitative Finance Summer Analyst / Associate Program,Hong Kong,Quant & Trading,https://morganstanley.tal.net/vx/lang-en-GB/mobile-0/brand-2/xf-0b9edecd07d4/candidate/so/pm/1/pl/1/opp/21270-2027-Institutional-Equity-Division-Quantitative-Finance-Summer-Analyst-Associate-Program-Hong-Kong/en-GB,Applied,2026-08-16,,2026-08-16,2026-09-21,Gmail,,No later recruiting update found in Gmail as of 2026-09-21
APP-0006,PineBridge Investments,Intern - Risk,,Markets & Finance,,Applied,2026-03-11,,2026-03-11,2026-09-21,Gmail,,No later recruiting update found in Gmail as of 2026-09-21
APP-0007,PineBridge Investments,Intern - Equities Fundamental,,Markets & Finance,,Applied,2026-03-11,,2026-03-11,2026-09-21,Gmail,,No later recruiting update found in Gmail as of 2026-09-21
APP-0008,PineBridge Investments,Intern - Fixed Income,Hong Kong,Markets & Finance,https://pinebridge.wd5.myworkdayjobs.com/en-US/PineBridge_Career_Site/job/Intern---Fixed-Income_R-02064,Applied,2026-03-11,,2026-03-11,2026-09-21,Gmail,,No later recruiting update found in Gmail as of 2026-09-21
APP-0009,Albourne,Private Markets Investment Due Diligence Intern,,Investing / VC / Hedge Funds,,Applied,2026-03-11,,2026-03-11,2026-09-21,Gmail,,No later recruiting update found in Gmail as of 2026-09-21
APP-0010,Citadel | Citadel Securities,Campus 26 - Asia Quantitative Research Analyst | Intern,Asia,Quant & Trading,,Applied,2026-02-20,,2026-02-20,2026-09-21,Gmail,,No later recruiting update found in Gmail as of 2026-09-21
APP-0011,P&G,"Engineering Internship, Summer 2027",,Other,https://pg.wd5.myworkdayjobs.com/en-GB/1000/job/BOSTON-GO--TECH-CENTER/Engineering-Internship--Summer-2027_R000157841/apply,Started,2026-09-22,2026-09-22,,2026-09-22,Browser,,
